state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,06-10-2021,1000,3000,2100
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,06-10-2021,2400,2600,2500
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,06-10-2021,760,3600,2120
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),Jowar ( White),06-10-2021,2400,2500,2450
Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,06-10-2021,2500,3000,2700
Chattisgarh,Balrampur,Kusmee,Paddy(Dhan)(Common),I.R. 36,06-10-2021,1890,1890,1890
Chattisgarh,Durg,Durg,Applee,Apple,06-10-2021,7000,10000,8500
Chattisgarh,Durg,Durg,Banana - Green,Banana - Green,06-10-2021,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,06-10-2021,2000,2200,2100
Chattisgarh,Durg,Durg,Bitter gourd,Bitter Gourd,06-10-2021,3000,3200,3100
Chattisgarh,Durg,Durg,Bottle gourd,Bottle Gourd,06-10-2021,1200,1300,1250
Chattisgarh,Durg,Durg,Brinjal,Round/Long,06-10-2021,2400,2500,2450
Chattisgarh,Durg,Durg,Cabbage,Cabbage,06-10-2021,1100,1200,1150
Chattisgarh,Durg,Durg,Capsicum,Capsicum,06-10-2021,5000,5500,5250
Chattisgarh,Durg,Durg,Carrot,Carrot,06-10-2021,2000,2200,2100
Chattisgarh,Durg,Durg,Cauliflower,Cauliflower,06-10-2021,4800,5000,4900
Chattisgarh,Durg,Durg,Chikoos(Sapota),Sapota,06-10-2021,4000,5000,4500
Chattisgarh,Durg,Durg,Coriander(Leaves),Coriander,06-10-2021,14000,15000,14500
Chattisgarh,Durg,Durg,Cucumbar(Kheera),Cucumbar,06-10-2021,1300,1400,1350
Chattisgarh,Durg,Durg,Garlic,Average,06-10-2021,9000,10000,9500
Chattisgarh,Durg,Durg,Ginger(Green),Green Ginger,06-10-2021,2500,3000,2750
Chattisgarh,Durg,Durg,Green Chilli,Green Chilly,06-10-2021,1800,2000,1900
Chattisgarh,Durg,Durg,Guar,Gwar,06-10-2021,4000,5000,4500
Chattisgarh,Durg,Durg,Guava,Guava Navalur,06-10-2021,1600,2000,1800
Chattisgarh,Durg,Durg,Lemon,Lemon,06-10-2021,4000,4500,4250
Chattisgarh,Durg,Durg,Little gourd (Kundru),Little gourd (Kundru),06-10-2021,2000,2500,2250
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),Mousambi,06-10-2021,4000,5000,4500
Chattisgarh,Durg,Durg,Onion,Nasik,06-10-2021,3000,3100,3050
Chattisgarh,Durg,Durg,Orange,Nagpuri,06-10-2021,5000,5500,5250
Chattisgarh,Durg,Durg,Papaya (Raw),Papaya (Raw),06-10-2021,2000,2500,2250
Chattisgarh,Durg,Durg,Pear(Marasebu),Pears,06-10-2021,4000,5000,4500
Chattisgarh,Durg,Durg,Pomegranate,Pomogranate,06-10-2021,8000,10000,9000
Chattisgarh,Durg,Durg,Potato,Potato,06-10-2021,1300,1500,1400
Chattisgarh,Durg,Durg,Pumpkin,Pumpkin,06-10-2021,500,600,550
Chattisgarh,Durg,Durg,Raddish,Raddish,06-10-2021,1200,1400,1300
Chattisgarh,Durg,Durg,Tomato,Tomato,06-10-2021,1700,1800,1750
Chattisgarh,Mahasamund,Bagbahra,Paddy(Dhan)(Common),MTU-1010,06-10-2021,1300,1460,1380
Chattisgarh,Mahasamund,Komakhan,Paddy(Dhan)(Common),MTU-1010,06-10-2021,1400,1400,1400
Chattisgarh,Rajnandgaon,Rajnandgaon,Apple,Apple,06-10-2021,6700,6700,6700
Chattisgarh,Rajnandgaon,Rajnandgaon,Bhindi(Ladies Finger),Bhindi,06-10-2021,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Bitter gourd,Bitter Gourd,06-10-2021,2600,2600,2600
Chattisgarh,Rajnandgaon,Rajnandgaon,Brinjal,Brinjal,06-10-2021,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Cabbage,Cabbage,06-10-2021,1000,1000,1000
Chattisgarh,Rajnandgaon,Rajnandgaon,Capsicum,Capsicum,06-10-2021,7000,7000,7000
Chattisgarh,Rajnandgaon,Rajnandgaon,Lemon,Lemon,06-10-2021,3000,3000,3000
Chattisgarh,Rajnandgaon,Rajnandgaon,Mousambi(Sweet Lime),Mousambi,06-10-2021,4000,4000,4000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,06-10-2021,1300,1300,1300
Gujarat,Ahmedabad,Dhandhuka,Cotton,Shanker 6 (B) 30mm FIne,06-10-2021,3950,5800,4875
Gujarat,Amreli,Bagasara,Cotton,Other,06-10-2021,3750,8505,6127
Gujarat,Amreli,Bagasara,Wheat,Lokwan Gujrat,06-10-2021,1855,1970,1912
Gujarat,Banaskanth,Vadgam,Bajra(Pearl Millet/Cumbu),Other,06-10-2021,1550,1550,1550
Gujarat,Banaskanth,Vadgam,Castor Seed,Other,06-10-2021,6000,6050,6025
Gujarat,Banaskanth,Vadgam,Rajgir,Other,06-10-2021,4755,4755,4755
Gujarat,Banaskanth,Vadgam,Wheat,Lokwan Gujrat,06-10-2021,1835,1905,1870
Gujarat,Bharuch,Jambusar,Arhar (Tur/Red Gram)(Whole),Other,06-10-2021,5000,5400,5200
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,06-10-2021,1650,1850,1750
Gujarat,Bharuch,Jambusar,Castor Seed,Other,06-10-2021,4000,4500,4200
Gujarat,Bharuch,Jambusar,Cotton,Other,06-10-2021,4000,4400,4200
Gujarat,Bharuch,Jambusar,Jowar(Sorghum),Other,06-10-2021,2000,2400,2200
Gujarat,Bharuch,Jambusar,Maize,Other,06-10-2021,1650,1850,1750
Gujarat,Bharuch,Jambusar,Wheat,Other,06-10-2021,1900,2100,2000
Gujarat,Bharuch,Jambusar(Kaavi),Arhar (Tur/Red Gram)(Whole),Other,06-10-2021,5100,5500,5300
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,06-10-2021,1700,1900,1800
Gujarat,Bharuch,Jambusar(Kaavi),Castor Seed,Other,06-10-2021,4100,4600,4300
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,Other,06-10-2021,4000,4500,4200
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,06-10-2021,1800,2200,2000
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,06-10-2021,1650,1850,1750
Gujarat,Gandhinagar,Dehgam,Bajra(Pearl Millet/Cumbu),Other,06-10-2021,1605,1725,1665
Gujarat,Gandhinagar,Dehgam,Castor Seed,Other,06-10-2021,5900,5980,5940
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,06-10-2021,1350,1650,1500
Gujarat,Gandhinagar,Dehgam,Wheat,Other,06-10-2021,1920,2155,2037
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bhindi(Ladies Finger),Other,06-10-2021,2000,3500,2750
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bitter gourd,Other,06-10-2021,2000,2500,2250
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Brinjal,Brinjal,06-10-2021,4000,4000,4000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Green Chilli,Other,06-10-2021,1000,1500,1250
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Lemon,Other,06-10-2021,2000,5000,4000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Tomato,Other,06-10-2021,1200,2500,1750
Gujarat,Jamnagar,Dhrol,Bajra(Pearl Millet/Cumbu),Other,06-10-2021,1000,1270,1135
Gujarat,Jamnagar,Dhrol,Bengal Gram(Gram)(Whole),Other,06-10-2021,3500,4650,4075
Gujarat,Jamnagar,Dhrol,Cotton,Other,06-10-2021,4400,5850,5125
Gujarat,Jamnagar,Dhrol,Cummin Seed(Jeera),Other,06-10-2021,8750,12275,10515
Gujarat,Jamnagar,Dhrol,Green Gram (Moong)(Whole),Other,06-10-2021,4900,6000,5450
Gujarat,Jamnagar,Dhrol,Groundnut,Other,06-10-2021,4750,5300,5025
Gujarat,Jamnagar,Dhrol,Jowar(Sorghum),Other,06-10-2021,1720,1980,1850
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,06-10-2021,8375,9700,9040
Gujarat,Jamnagar,Dhrol,Wheat,Other,06-10-2021,1700,1920,1810
Gujarat,Kachchh,Rapar,Castor Seed,Castor seed,06-10-2021,5950,6000,5975
Gujarat,Patan,Sami,Castor Seed,Castor seed,06-10-2021,5875,5950,5925
Gujarat,Patan,Sami,Cummin Seed(Jeera),Cummin Seed(Jeera),06-10-2021,12000,13000,12500
Gujarat,Patan,Sami,Suva (Dill Seed),Other,06-10-2021,5000,5225,5150
Gujarat,Patan,Sami,Wheat,Other,06-10-2021,1700,1925,1875
Gujarat,Rajkot,Dhoraji,Corriander seed,Medium Green,06-10-2021,5505,6880,6530
Gujarat,Rajkot,Dhoraji,Cotton,H.B (Unginned),06-10-2021,4330,8030,6405
Gujarat,Rajkot,Dhoraji,Groundnut,G20,06-10-2021,4250,5005,4830
Gujarat,Rajkot,Dhoraji,"Sesamum(Sesame,Gingelly,Til)",White,06-10-2021,9480,9630,9555
Gujarat,Rajkot,Dhoraji,Wheat,Lokwan,06-10-2021,1750,1980,1965
Gujarat,Rajkot,Rajkot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),06-10-2021,5300,6225,5650
Gujarat,Rajkot,Rajkot,Bajra(Pearl Millet/Cumbu),Deshi,06-10-2021,1400,1675,1500
Gujarat,Rajkot,Rajkot,Bengal Gram(Gram)(Whole),Desi (Whole),06-10-2021,4090,5955,4815
Gujarat,Rajkot,Rajkot,Black Gram (Urd Beans)(Whole),Desi,06-10-2021,5125,7920,6625
Gujarat,Rajkot,Rajkot,Castor Seed,Caster,06-10-2021,5500,5845,5700
Gujarat,Rajkot,Rajkot,Corriander seed,Coriander Seed,06-10-2021,5500,7150,6750
Gujarat,Rajkot,Rajkot,Cotton,Narma BT Cotton,06-10-2021,4000,7875,6900
Gujarat,Rajkot,Rajkot,Cummin Seed(Jeera),Cummin Seed(Jeera),06-10-2021,11850,12750,12250
Gujarat,Rajkot,Rajkot,Garlic,Garlic,06-10-2021,2625,5205,3555
Gujarat,Rajkot,Rajkot,Green Gram (Moong)(Whole),Green (Whole),06-10-2021,5200,6920,6355
Gujarat,Rajkot,Rajkot,Ground Nut Seed,Ground Nut Seed,06-10-2021,6350,8675,8175
Gujarat,Rajkot,Rajkot,Groundnut,Bold,06-10-2021,4000,6300,4625
Gujarat,Rajkot,Rajkot,Groundnut,G20,06-10-2021,3950,5800,4100
Gujarat,Rajkot,Rajkot,Jowar(Sorghum),Jowar ( White),06-10-2021,1675,2400,2250
Gujarat,Rajkot,Rajkot,Jowar(Sorghum),Jowar (Yellow),06-10-2021,1350,1675,1500
Gujarat,Rajkot,Rajkot,Methi Seeds,Methiseeds,06-10-2021,5675,6915,6400
Gujarat,Rajkot,Rajkot,Mustard,Mustard,06-10-2021,6750,7405,7300
Gujarat,Rajkot,Rajkot,"Sesamum(Sesame,Gingelly,Til)",Black,06-10-2021,9875,12250,11750
Gujarat,Rajkot,Rajkot,"Sesamum(Sesame,Gingelly,Til)",White,06-10-2021,8625,10000,9750
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,06-10-2021,1940,2090,2025
Gujarat,Rajkot,Rajkot,Wheat,Sharbati,06-10-2021,1980,2275,2110
Gujarat,Rajkot,Rajkot(Ghee Peeth),Bhindi(Ladies Finger),Bhindi,06-10-2021,2400,3600,3250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Bottle gourd,Bottle Gourd,06-10-2021,1450,2050,1750
Gujarat,Rajkot,Rajkot(Ghee Peeth),Brinjal,Brinjal,06-10-2021,2400,5000,4250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Cluster beans,Cluster Beans,06-10-2021,5900,8100,7500
Gujarat,Rajkot,Rajkot(Ghee Peeth),Coriander(Leaves),Coriander,06-10-2021,4950,6600,5750
Gujarat,Rajkot,Rajkot(Ghee Peeth),Ginger(Green),Green Ginger,06-10-2021,1700,2850,2250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Green Chilli,Green Chilly,06-10-2021,1400,2650,2250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Lemon,Lemon,06-10-2021,3450,4550,4250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Onion,Onion,06-10-2021,700,3350,2775
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,06-10-2021,500,1400,1200
Gujarat,Rajkot,Rajkot(Ghee Peeth),Tomato,Tomato,06-10-2021,1950,3050,2750
Gujarat,Surat,Surat,Bhindi(Ladies Finger),Other,06-10-2021,1250,4000,2625
Gujarat,Surat,Surat,Bitter gourd,Other,06-10-2021,1000,2600,1800
Gujarat,Surat,Surat,Brinjal,Other,06-10-2021,1750,6500,4125
Gujarat,Surat,Surat,Cowpea(Veg),Other,06-10-2021,4000,10000,7000
Gujarat,Surat,Surat,Drumstick,Other,06-10-2021,3000,6300,4650
Gujarat,Surat,Surat,Elephant Yam (Suran),Other,06-10-2021,1300,1600,1450
Gujarat,Surat,Surat,French Beans (Frasbean),Other,06-10-2021,2250,4000,3125
Gujarat,Surat,Surat,Green Chilli,Other,06-10-2021,1000,1600,1300
Gujarat,Surat,Surat,Lemon,Other,06-10-2021,1500,5000,3250
Gujarat,Surat,Surat,Little gourd (Kundru),Other,06-10-2021,2250,9500,5875
Gujarat,Surat,Surat,Pointed gourd (Parval),Other,06-10-2021,3250,4250,3750
Gujarat,Surat,Surat,Surat Beans (Papadi),Other,06-10-2021,5000,13000,9000
Gujarat,Surat,Surat,Tomato,Other,06-10-2021,1300,4000,2650
Gujarat,Surat,Surat,Yam (Ratalu),Other,06-10-2021,6500,8000,7250
Gujarat,Vadodara(Baroda),Padra,Bhindi(Ladies Finger),Other,06-10-2021,1750,2750,2250
